source,dest,dist,calls,cost
1079,1066,1.50929259844,119,179.60581921436
1079,1067,1.12398429191,561,630.5551877615101
1079,1068,0.765486518413,195,149.269871090535
1079,1078,0.893693344222,351,313.686363821922
1079,1079,0.0,269,0.0
1079,1080,1.67971335211,248,416.56891132328
1079,1081,1.49095063153,30,44.7285189459
1079,1083,1.60259339394,350,560.907687879
1079,1087,1.45613454825,366,532.9452446595001
1079,1088,2.52604276312,239,603.72422038568
1079,1089,2.8287911291,151,427.14746049409996
1079,1118,2.17104001785,219,475.45776390914995
1079,1133,2.08126141594,1313,2732.6962391292195
1079,1172,1.88617657306,139,262.17854365534
1079,1173,0.697905126662,210,146.56007659902
1079,1181,2.14358536773,612,1311.87424505076
1079,1182,1.37560453455,491,675.42182646405
1079,1247,2.29351672809,364,834.8400890247601
1079,1259,2.62140042349,649,1701.28887484501
1079,1263,2.49404171684,168,418.99900842912
1079,1265,2.64735613838,746,1974.9276792314802
1079,1318,1.59749814038,380,607.0492933444
1079,1319,3.43241206138,38,130.43165833244
1079,1332,2.32160609683,0,0.0
1079,1337,3.32899177547,195,649.15339621665
1079,1346,2.61834335751,888,2325.08890146888
1079,1348,6.29843436841,8,50.38747494728
1079,1357,2.872126482436006,928,2665.3333757006135
1091,1090,0.37533806382,64,24.02163608448
1091,1091,0.0,490,0.0
1091,1119,1.82752924319,135,246.71644783065003
1091,1174,1.96271650275,1384,2716.399639806
1091,1200,1.47253921189,216,318.06846976824
1091,1224,2.30129450844,504,1159.8524322537598
1091,1255,1.30257201749,321,418.12561761429
1091,1256,1.39377938869,187,260.63674568503
1091,1257,0.97518971011,423,412.50524737653
1091,1258,1.91040893684,798,1524.50633159832
1091,1260,2.28650522194,1090,2492.2906919146003
1091,1271,2.1625469456,325,702.8277573199999
1091,1282,1.52964026549,462,706.6938026563801
1091,1283,0.573738465343,173,99.256754504339
1091,1287,2.01064067548,218,438.31966725463997
1091,1288,2.26811523517,948,2150.17324294116
1091,1295,2.38643932368,210,501.1522579728
1091,1310,2.88728910667,140,404.2204749338
1091,1311,2.37071899538,765,1813.6000314656999
1091,1320,1.53468221813,529,811.84689339077
1091,1321,2.25970401534,1213,2741.02097060742
1091,1336,2.42649543431,462,1121.04089065122
1091,1290,3.506039685992616,31,108.68723026577109
1091,1322,1.8594295633,162,301.2275892546
1094,1053,2.03598274531,573,1166.61811306263
1094,1082,2.58293705798,246,635.4025162630801
1094,1086,1.93890272173,324,628.20448184052
1094,1094,0.0,661,0.0
1094,1096,0.859091692696,247,212.19564809591202
1094,1097,1.77669739876,474,842.15456701224
1094,1103,0.99918373958,572,571.5330990397599
1094,1108,2.29837179409,202,464.27110240618
1094,1109,1.68732725204,239,403.27121323756
1094,1128,0.740014902873,781,577.9516391438129
1094,1207,2.83565719069,171,484.89737960799005
1094,1208,2.78841852846,83,231.43873786217998
1094,1209,0.740421903273,612,453.13820480307595
1094,1210,1.50047100413,173,259.58148371449
1094,1211,2.43799892835,326,794.7876506421
1094,1213,1.50376915153,500,751.884575765
1094,1233,9.70037385078,0,0.0
1094,1244,1.26936057916,205,260.2189187278
1094,1245,1.406284381,148,208.13008838800002
1094,1246,2.51871751003,134,337.50814634402
1094,1253,1.49193687287,230,343.1454807601
1094,1254,1.61697887102,563,910.3591043842599
1094,1261,2.8098725261,203,570.4041227983
1094,1262,2.72762204146,120,327.3146449752
1094,1266,1.43863792564,522,750.96899718408
1094,1267,1.59015066366,711,1130.59712186226
1094,1268,0.83906781164,205,172.0089013862
1094,1269,2.45504886545,234,574.4814345153
1094,1270,1.9502450898,339,661.1330854422
1094,1279,0.524840371538,195,102.34387244991
1094,1286,2.11336090615,258,545.2471137867
1094,1355,9.441990005160429,0,0.0
1094,1356,9.68910041955,0,0.0
1094,1531,2.89412718725,16,46.306034996
1094,1212,3.40284700425,0,0.0
1094,1530,3.13775213558,0,0.0
1115,1115,0.0,533,0.0
1115,1116,2.04888892882,55,112.6888910851
1115,1129,0.734837501556,755,554.8023136747801
1115,1136,1.72067892963,206,354.45985950378
1115,1145,0.825640937053,377,311.266633268981
1115,1168,2.21794359515,126,279.4608929889
1115,1176,1.01768107497,323,328.71098721531
1115,1177,0.412816745188,1297,535.423318508836
1115,1178,0.808370494524,939,759.059894358036
1115,1185,1.96267653977,193,378.79657217561
1115,1186,1.30560942722,1036,1352.61136659992
1115,1188,0.722761649495,151,109.137009073745
1115,1189,1.13620068094,267,303.36558181098
1115,1190,1.67321282854,236,394.87822753544003
1115,1193,1.4723332997,607,893.7063129179
1115,1194,1.17067621608,941,1101.60631933128
1115,1195,1.30645159856,381,497.75805905136
1115,1196,1.36200567673,1191,1622.14876098543
1115,1197,1.49007862679,452,673.5155393090799
1115,1201,1.80198620162,238,428.87271598556
1115,1222,1.81894500011,221,401.98684502431
1115,1223,1.63898570289,275,450.72106829474995
1115,1235,1.29356715639,114,147.46665582846
1115,1236,2.400433919661277,62,148.82690301899916
1115,1237,1.27372538088,228,290.40938684063997
1151,1070,1.93998492155,249,483.05624546595
1151,1071,1.33398427765,638,851.0819691406999
1151,1072,1.82200041244,124,225.92805114256
1151,1073,1.31435969155,629,826.7322459849499
1151,1074,1.44121959693,459,661.51979499087
1151,1112,0.926254544316,881,816.0302535423959
1151,1114,1.1985147335,158,189.365327893
1151,1141,2.09030289727,119,248.74604477513
1151,1146,1.95431181022,136,265.78640618992
1151,1147,2.14535517153,297,637.17048594441
1151,1148,0.969756968211,241,233.711429338851
1151,1149,1.12586861697,131,147.48878882307
